unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,AAVE/USD,141.0212,141.4153,139.611,140.9586,17.970908,2533.1540324088,2022-05-03
1651615200000,2022-05-03 22:00:00,AAVE/USD,142.1791,142.7978,140.9819,141.0212,13.572758,1914.0466204696,2022-05-03
1651611600000,2022-05-03 21:00:00,AAVE/USD,141.3019,142.6817,140.6616,142.1791,49.16919,6990.831181929,2022-05-03
1651608000000,2022-05-03 20:00:00,AAVE/USD,140.0845,141.3019,139.0955,141.3019,87.798282,12406.0640633358,2022-05-03
1651604400000,2022-05-03 19:00:00,AAVE/USD,140.8049,140.9892,139.0955,140.0845,308.352138,43195.355075661,2022-05-03
1651600800000,2022-05-03 18:00:00,AAVE/USD,141.5411,141.5411,139.6391,140.8049,54.509182,7675.159920591801,2022-05-03
1651597200000,2022-05-03 17:00:00,AAVE/USD,141.8459,142.9963,141.5411,141.5411,41.488041,5872.262959985101,2022-05-03
1651593600000,2022-05-03 16:00:00,AAVE/USD,143.3493,143.858,141.6181,141.8459,93.732804,13295.6139429036,2022-05-03
1651590000000,2022-05-03 15:00:00,AAVE/USD,145.0245,145.829,142.7183,143.3493,354.13011,50764.303377423,2022-05-03
1651586400000,2022-05-03 14:00:00,AAVE/USD,143.2995,145.3883,142.4015,145.0245,165.779498,24042.088807700995,2022-05-03
1651582800000,2022-05-03 13:00:00,AAVE/USD,144.0795,144.4445,142.4015,143.2995,28.288751,4053.7638739245,2022-05-03
1651579200000,2022-05-03 12:00:00,AAVE/USD,145.1843,145.1843,144.0795,144.0795,0.101153,14.5740736635,2022-05-03
1651575600000,2022-05-03 11:00:00,AAVE/USD,143.3688,145.2398,142.7963,145.1843,405.263887,58837.95374937411,2022-05-03
1651572000000,2022-05-03 10:00:00,AAVE/USD,143.635,144.0233,142.8591,143.3688,40.44765,5798.93104332,2022-05-03
1651568400000,2022-05-03 09:00:00,AAVE/USD,145.0576,145.1188,143.4639,143.635,9.868058,1417.39851083,2022-05-03
1651564800000,2022-05-03 08:00:00,AAVE/USD,145.3396,146.1078,144.7653,145.0576,3.041082,441.1320563232,2022-05-03
1651561200000,2022-05-03 07:00:00,AAVE/USD,145.4843,145.6069,144.5579,145.3396,5.3123,772.0875570799999,2022-05-03
1651557600000,2022-05-03 06:00:00,AAVE/USD,146.2452,146.3379,144.9385,145.4843,11.886259,1729.2640702337,2022-05-03
1651554000000,2022-05-03 05:00:00,AAVE/USD,145.6409,146.5197,144.3361,146.2452,17.114475,2502.90981927,2022-05-03
1651550400000,2022-05-03 04:00:00,AAVE/USD,144.8906,145.8438,144.5579,145.6409,17.025273,2479.5760824656995,2022-05-03
1651546800000,2022-05-03 03:00:00,AAVE/USD,144.2591,145.6654,144.0359,144.8906,19.633908,2844.7687104648003,2022-05-03
1651543200000,2022-05-03 02:00:00,AAVE/USD,145.0358,145.909,143.3581,144.2591,6.97964,1006.876584724,2022-05-03
1651539600000,2022-05-03 01:00:00,AAVE/USD,142.6553,145.2756,142.0075,145.0358,155.992281,22624.4652686598,2022-05-03
1651536000000,2022-05-03 00:00:00,AAVE/USD,143.9022,144.338,142.4858,142.6553,56.510464,8061.5171950592,2022-05-03
