unix,date,symbol,open,high,low,close,Volume FRAX,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651356000000,2022-04-30 22:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651352400000,2022-04-30 21:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651348800000,2022-04-30 20:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651345200000,2022-04-30 19:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651341600000,2022-04-30 18:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651338000000,2022-04-30 17:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651334400000,2022-04-30 16:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651330800000,2022-04-30 15:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651327200000,2022-04-30 14:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651323600000,2022-04-30 13:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651320000000,2022-04-30 12:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651316400000,2022-04-30 11:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651312800000,2022-04-30 10:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651309200000,2022-04-30 09:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651305600000,2022-04-30 08:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651302000000,2022-04-30 07:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651298400000,2022-04-30 06:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651294800000,2022-04-30 05:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651291200000,2022-04-30 04:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651287600000,2022-04-30 03:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651284000000,2022-04-30 02:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651280400000,2022-04-30 01:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
1651276800000,2022-04-30 00:00:00,FRAX/USD,0,0,0,0,0,0,2022-04-30
