unix,date,symbol,open,high,low,close,Volume ENJ,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,ENJ/USD,1.0668,1.0668,1.0582,1.0663,565.305172,602.7849049036,2022-05-03
1651615200000,2022-05-03 22:00:00,ENJ/USD,1.0664,1.0768,1.0637,1.0668,1632.381181,1741.4242438908,2022-05-03
1651611600000,2022-05-03 21:00:00,ENJ/USD,1.0508,1.0666,1.0482,1.0664,7191.585684,7669.1069734176,2022-05-03
1651608000000,2022-05-03 20:00:00,ENJ/USD,1.0497,1.0508,1.043,1.0508,1815.246153,1907.4606575724,2022-05-03
1651604400000,2022-05-03 19:00:00,ENJ/USD,1.0598,1.0599,1.0419,1.0497,3950.153417,4146.476041824901,2022-05-03
1651600800000,2022-05-03 18:00:00,ENJ/USD,1.0732,1.0732,1.0539,1.0598,2781.70734,2948.053438932,2022-05-03
1651597200000,2022-05-03 17:00:00,ENJ/USD,1.0757,1.0845,1.0724,1.0732,515.391336,553.1179817952,2022-05-03
1651593600000,2022-05-03 16:00:00,ENJ/USD,1.0918,1.096,1.0739,1.0757,1603.726488,1725.1285831416,2022-05-03
1651590000000,2022-05-03 15:00:00,ENJ/USD,1.0908,1.0993,1.0888,1.0918,2339.463785,2554.226560463,2022-05-03
1651586400000,2022-05-03 14:00:00,ENJ/USD,1.0974,1.1028,1.0863,1.0908,4648.36206,5070.433335048,2022-05-03
1651582800000,2022-05-03 13:00:00,ENJ/USD,1.1045,1.1083,1.09,1.0974,2857.608107,3135.9391366218,2022-05-03
1651579200000,2022-05-03 12:00:00,ENJ/USD,1.1219,1.1251,1.1024,1.1045,840.510085,928.3433888825,2022-05-03
1651575600000,2022-05-03 11:00:00,ENJ/USD,1.085,1.1263,1.0828,1.1219,1992.48579,2235.369807801,2022-05-03
1651572000000,2022-05-03 10:00:00,ENJ/USD,1.0896,1.0896,1.0848,1.085,0.834081,0.904977885,2022-05-03
1651568400000,2022-05-03 09:00:00,ENJ/USD,1.1035,1.1035,1.0896,1.0896,373.49071,406.955477616,2022-05-03
1651564800000,2022-05-03 08:00:00,ENJ/USD,1.1018,1.1098,1.1013,1.1035,3462.852005,3821.2571875175,2022-05-03
1651561200000,2022-05-03 07:00:00,ENJ/USD,1.1037,1.1097,1.0973,1.1018,2219.017197,2444.9131476546,2022-05-03
1651557600000,2022-05-03 06:00:00,ENJ/USD,1.1055,1.1102,1.0982,1.1037,590.529722,651.7676541714,2022-05-03
1651554000000,2022-05-03 05:00:00,ENJ/USD,1.1034,1.1096,1.0973,1.1055,1563.170732,1728.085244226,2022-05-03
1651550400000,2022-05-03 04:00:00,ENJ/USD,1.0879,1.1104,1.0813,1.1034,1799.921857,1986.0337770138,2022-05-03
1651546800000,2022-05-03 03:00:00,ENJ/USD,1.079,1.0978,1.0762,1.0879,848.090985,922.6381825815,2022-05-03
1651543200000,2022-05-03 02:00:00,ENJ/USD,1.0861,1.0922,1.0714,1.079,20927.68222,22580.96911538,2022-05-03
1651539600000,2022-05-03 01:00:00,ENJ/USD,1.0596,1.0917,1.0555,1.0861,15230.193407,16541.513059342702,2022-05-03
1651536000000,2022-05-03 00:00:00,ENJ/USD,1.072,1.0741,1.0579,1.0596,10789.407055,11432.455715478,2022-05-03
